iter	Passed	Remaining
414	3175	2945
415	3182	2937
416	3189	2929
417	3196	2921
418	3204	2913
419	3211	2905
420	3218	2897
421	3226	2890
422	3233	2882
423	3241	2874
424	3248	2866
425	3255	2858
426	3263	2850
427	3270	2842
428	3277	2834
429	3284	2826
430	3291	2818
431	3299	2810
432	3306	2802
433	3314	2794
434	3321	2786
435	3328	2778
436	3335	2770
437	3342	2762
438	3350	2754
439	3357	2746
440	3364	2739
441	3372	2731
442	3379	2723
443	3386	2715
444	3394	2707
445	3401	2699
446	3409	2692
447	3416	2684
448	3424	2676
449	3431	2668
450	3438	2661
451	3445	2652
452	3453	2645
453	3461	2637
454	3468	2629
455	3475	2622
456	3482	2613
457	3489	2606
458	3496	2597
459	3503	2589
460	3511	2582
461	3518	2573
462	3525	2566
463	3532	2558
464	3539	2550
465	3546	2542
466	3554	2534
467	3561	2526
468	3568	2518
469	3576	2511
470	3583	2503
471	3590	2495
472	3597	2487
473	3605	2479
474	3612	2471
475	3619	2463
476	3627	2456
477	3634	2448
478	3642	2441
479	3650	2433
480	3658	2426
481	3665	2418
482	3673	2410
483	3680	2402
484	3687	2394
485	3694	2386
486	3701	2379
487	3709	2371
488	3716	2363
489	3723	2355
490	3731	2348
491	3738	2340
492	3746	2332
493	3753	2325
494	3760	2317
495	3767	2309
496	3774	2301
497	3781	2293
498	3788	2285
499	3795	2277
500	3803	2270
501	3810	2262
502	3818	2254
503	3826	2247
504	3833	2239
505	3841	2232
506	3849	2224
507	3856	2216
508	3864	2209
509	3871	2201
510	3878	2193
511	3885	2185
512	3892	2177
513	3899	2169
514	3906	2162
515	3914	2154
516	3921	2146
517	3928	2138
518	3936	2131
519	3943	2123
520	3950	2115
521	3958	2108
522	3966	2100
523	3973	2092
524	3980	2084
525	3987	2077
526	3995	2069
527	4002	2061
528	4008	2053
529	4016	2046
530	4023	2038
531	4031	2031
532	4039	2023
533	4046	2015
534	4053	2007
535	4060	1999
536	4067	1992
537	4074	1984
538	4081	1976
539	4088	1968
540	4095	1960
541	4102	1952
542	4109	1945
543	4116	1937
544	4123	1929
545	4130	1921
546	4137	1913
547	4144	1905
548	4151	1897
549	4158	1890
550	4165	1882
551	4172	1874
552	4180	1867
553	4188	1859
554	4196	1852
555	4204	1844
556	4211	1837
557	4219	1829
558	4227	1822
559	4234	1814
560	4241	1807
561	4248	1799
562	4255	1791
563	4262	1783
564	4269	1775
565	4276	1768
566	4284	1760
567	4292	1753
568	4299	1745
569	4306	1737
570	4314	1730
571	4321	1722
572	4328	1714
573	4336	1707
574	4344	1699
575	4351	1692
576	4358	1684
577	4365	1676
578	4373	1669
579	4385	1663
580	4395	1656
581	4405	1650
582	4413	1642
583	4420	1635
584	4427	1627
585	4434	1619
586	4442	1611
587	4449	1604
588	4456	1596
589	4463	1588
590	4471	1581
591	4480	1574
592	4487	1566
593	4494	1558
594	4501	1551
595	4509	1543
596	4516	1535
597	4524	1528
598	4532	1520
599	4539	1513
600	4546	1505
601	4553	1497
602	4561	1490
603	4568	1482
604	4575	1474
605	4582	1466
606	4589	1459
607	4597	1451
608	4604	1444
609	4611	1436
610	4619	1428
611	4625	1421
612	4633	1413
613	4640	1405
614	4647	1398
615	4654	1390
616	4662	1382
617	4669	1375
618	4676	1367
619	4684	1360
620	4691	1352
621	4699	1344
622	4707	1337
623	4714	1329
624	4721	1321
625	4728	1314
626	4735	1306
627	4743	1299
628	4750	1291
629	4757	1283
630	4765	1276
631	4772	1268
632	4779	1261
633	4786	1253
634	4794	1245
635	4801	1238
636	4809	1230
637	4816	1222
638	4823	1215
639	4831	1207
640	4838	1200
641	4845	1192
642	4852	1184
643	4860	1177
644	4867	1169
645	4874	1162
646	4881	1154
647	4889	1146
648	4897	1139
649	4903	1131
650	4911	1124
651	4918	1116
652	4926	1108
653	4933	1101
654	4941	1093
655	4948	1086
656	4956	1078
657	4963	1071
658	4970	1063
659	4977	1055
660	4984	1048
661	4991	1040
662	4998	1032
663	5006	1025
664	5013	1017
665	5020	1010
666	5027	1002
667	5035	995
668	5043	987
669	5050	979
670	5058	972
671	5065	964
672	5073	957
673	5080	949
674	5087	942
675	5094	934
676	5102	926
677	5108	919
678	5116	911
679	5123	904
680	5130	896
681	5138	889
682	5145	881
683	5152	873
684	5159	866
685	5166	858
686	5174	851
687	5181	843
688	5188	835
689	5194	828
690	5202	820
691	5209	813
692	5216	805
693	5223	797
694	5231	790
695	5238	782
696	5246	775
697	5253	767
698	5260	760
699	5268	752
700	5275	745
701	5283	737
702	5290	729
703	5297	722
704	5304	714
705	5311	707
706	5319	699
707	5326	692
708	5333	684
709	5340	676
710	5348	669
711	5356	662
712	5363	654
713	5370	646
714	5377	639
715	5385	631
716	5392	624
717	5400	616
718	5407	609
719	5415	601
720	5421	594
721	5429	586
722	5436	578
723	5443	571
724	5451	563
725	5458	556
726	5465	548
727	5472	541
728	5479	533
729	5487	526
730	5494	518
731	5501	511
732	5508	503
733	5516	496
734	5523	488
735	5530	480
736	5537	473
737	5545	465
738	5553	458
739	5560	450
740	5567	443
741	5574	435
742	5582	428
743	5589	420
744	5596	413
745	5603	405
746	5611	398
747	5617	390
748	5625	383
749	5632	375
750	5640	368
751	5647	360
752	5654	352
753	5662	345
754	5669	337
755	5677	330
756	5691	323
757	5702	315
758	5711	308
759	5721	301
760	5729	293
761	5736	286
762	5744	278
763	5751	271
764	5759	263
765	5766	255
766	5773	248
767	5780	240
768	5787	233
769	5795	225
770	5802	218
771	5809	210
772	5816	203
773	5824	195
774	5830	188
775	5838	180
776	5846	173
777	5854	165
778	5861	158
779	5868	150
780	5875	142
781	5883	135
782	5890	127
783	5897	120
784	5904	112
785	5912	105
786	5919	97
787	5926	90
788	5934	82
789	5941	75
790	5949	67
791	5957	60
792	5964	52
793	5971	45
794	5978	37
795	5986	30
796	5993	22
797	6000	15
798	6008	7
799	6016	0
