iter	MultiClass
138	0.6485692406
139	0.6481130778
140	0.647536548
141	0.6469061994
142	0.6465932082
143	0.6459177776
144	0.6455138199
145	0.6449053009
146	0.6443037582
147	0.6440300667
148	0.643469098
149	0.6429258303
150	0.6425525892
151	0.6422321723
152	0.6418922788
153	0.6413883149
154	0.6410102453
155	0.6405679017
156	0.6402308703
157	0.639910039
158	0.6394749025
159	0.6387796857
160	0.6383172747
161	0.6380504232
162	0.6376589938
163	0.6372814779
164	0.6367694232
165	0.6363116606
166	0.6360428147
167	0.6357660747
168	0.6354255685
169	0.6349410029
170	0.6347116421
171	0.6344752111
172	0.6340189122
173	0.6337722611
174	0.6331951641
175	0.6328875984
176	0.6323761156
177	0.6320763163
178	0.6318039625
179	0.631282301
180	0.631085521
181	0.630686329
182	0.6302939455
183	0.6299052481
184	0.6296208137
185	0.6292763467
186	0.6288091983
187	0.628570595
188	0.6280385369
189	0.6277636086
190	0.6275501717
191	0.6272397651
192	0.6267408768
193	0.6262990324
194	0.6259522246
195	0.6256659511
196	0.6254017371
197	0.625101643
198	0.6247429641
199	0.6243054754
200	0.6238101029
201	0.6235359959
202	0.6232009075
203	0.6226765438
204	0.6223815364
205	0.622067862
206	0.6215894435
207	0.6213960124
208	0.6207789525
209	0.6203754108
210	0.6199997832
211	0.6195638955
212	0.619219939
213	0.6186816097
214	0.6183467784
215	0.6180299032
216	0.6176729037
217	0.6172775681
218	0.616842956
219	0.6164852481
220	0.6161465872
221	0.6159097053
222	0.6156266702
223	0.6152122352
224	0.6148672623
225	0.6144954825
226	0.6142170033
227	0.6137697601
228	0.613368621
229	0.6130585157
230	0.6125737633
231	0.612392519
232	0.6121053765
233	0.6118897992
234	0.611608125
235	0.6111552256
236	0.6107287333
237	0.6102618474
238	0.609717866
239	0.609323606
240	0.6090838445
241	0.6085481953
242	0.6083079902
243	0.6080452466
244	0.6077360075
245	0.6073702269
246	0.6068761482
247	0.6066532639
248	0.606317595
249	0.6060460385
250	0.6056403881
251	0.6052239488
252	0.6048913198
253	0.6045153854
254	0.6042303575
255	0.6038845514
256	0.6034485651
257	0.6031376449
258	0.6028688186
259	0.6025450493
260	0.6021459527
261	0.6018327097
262	0.6014422276
263	0.6009798165
264	0.6005688684
265	0.6001639889
266	0.5998628973
267	0.5995209977
268	0.5991870473
269	0.5989071968
270	0.5986025148
271	0.5983605166
272	0.5979278779
273	0.5975472792
274	0.5973846806
275	0.5970362628
276	0.5965148846
277	0.5963353719
278	0.5957954686
279	0.5954306866
280	0.5951145147
281	0.5947864147
282	0.5944119918
283	0.5940339516
284	0.5938714376
285	0.5935212745
286	0.5932551282
287	0.5929770218
288	0.5928083497
289	0.5925183115
290	0.5922660896
291	0.5920834095
292	0.5918109764
293	0.5913762647
294	0.5910287683
295	0.59066739
296	0.5904879383
297	0.5901474444
298	0.5898394731
299	0.5894308184
300	0.5891657379
301	0.5886709691
302	0.5884761592
303	0.5881370474
304	0.587887119
305	0.5876046417
306	0.5872977102
307	0.5869786575
308	0.5867935009
309	0.5862647612
310	0.5859668293
311	0.585608955
312	0.5853683904
313	0.5850637859
314	0.5846503104
315	0.5842711517
316	0.5839364315
317	0.5834973191
318	0.5831521053
319	0.5828346339
320	0.5824727778
321	0.5822185067
322	0.5818892249
323	0.5816286268
324	0.581320075
325	0.5810016362
326	0.5806857115
327	0.5803288132
328	0.5800144631
329	0.5798617785
330	0.5795288989
331	0.579371631
332	0.5790960167
333	0.5788803151
334	0.5784909897
335	0.5781657777
336	0.5779826042
337	0.5777221607
338	0.5774812634
339	0.5773648793
340	0.5770458379
341	0.5767348664
342	0.5763979563
343	0.5762243963
344	0.5760297557
345	0.5756577578
346	0.575297885
347	0.5750140639
348	0.5748030191
349	0.5745626728
350	0.5742674667
351	0.5739804296
352	0.5736628315
353	0.5734613163
354	0.573148995
355	0.5729281475
356	0.572696254
357	0.5723967983
358	0.572089508
359	0.5719440725
360	0.5714676847
361	0.5712735495
362	0.5710180082
363	0.5708030236
364	0.5705491691
365	0.5702466115
366	0.5699749378
367	0.5696412111
368	0.569403091
369	0.5691764807
370	0.5689415282
371	0.5685692132
372	0.5683010444
373	0.5680219736
374	0.5678501549
375	0.5675893011
376	0.5672835356
377	0.5670474072
378	0.5668529166
379	0.5666114455
380	0.5664107388
381	0.5661762492
382	0.5659311122
383	0.5656709082
384	0.565278626
385	0.5649692121
386	0.5647355041
387	0.5645742028
388	0.5643357794
389	0.5639759201
390	0.5638073948
391	0.5635604964
392	0.5632748804
393	0.5631200695
394	0.562834201
395	0.562568127
396	0.5622701139
397	0.5620725396
398	0.5617702247
399	0.5615237774
400	0.561228484
401	0.5610654978
402	0.5607190529
403	0.5604253034
404	0.5600959741
405	0.5597691658
406	0.5594411847
407	0.5592648723
408	0.558937265
409	0.5586530738
410	0.5583394671
411	0.5580619364
412	0.5578789949
413	0.5576056328
414	0.5572996436
415	0.5569706919
416	0.556761059
417	0.5565843001
418	0.5561881105
419	0.5558772568
420	0.5557591879
421	0.5555442126
422	0.5552827557
423	0.5551253977
424	0.554870548
425	0.5545804451
426	0.5543664474
427	0.5541608789
428	0.5540333452
429	0.5538644084
430	0.5536129933
431	0.5534902972
432	0.5532566105
433	0.5530177744
434	0.5527905156
435	0.5525397155
436	0.5523337326
437	0.5520594468
438	0.5517175158
439	0.5516068853
440	0.5514056252
441	0.5511813465
442	0.5509511462
443	0.5506808838
444	0.550380245
445	0.5501104474
446	0.5498810838
447	0.5495514361
448	0.5492571497
449	0.5489994732
450	0.548748234
451	0.5485700806
452	0.5483405494
453	0.5481571168
454	0.5478046136
455	0.5475655326
456	0.5472137904
457	0.5470505858
458	0.5469092279
459	0.5467337369
460	0.5465554529
461	0.5463765268
462	0.5460887813
463	0.5458182832
464	0.5456083132
465	0.5453557037
466	0.5452167849
467	0.5450658826
468	0.5448150014
469	0.5445880795
470	0.5443709785
471	0.5441554469
472	0.5438707406
473	0.543610022
474	0.5434193793
475	0.5432904552
476	0.543055587
477	0.5429363094
478	0.5426769413
479	0.5423508935
480	0.542246594
481	0.5419812993
482	0.5416975895
483	0.5413792192
484	0.5411348805
485	0.5410198729
486	0.5407157161
487	0.5404891473
488	0.5403068626
489	0.5400925604
490	0.5398585009
491	0.5396514264
492	0.5395424435
493	0.5392945
494	0.5390932972
495	0.5387701915
496	0.5386226335
497	0.5383481464
498	0.5381633282
499	0.5378960368
500	0.5376519668
501	0.5374827477
502	0.537279378
503	0.537057068
504	0.5368277301
505	0.5365628896
506	0.5363162
507	0.5360560476
508	0.5359349339
509	0.5357684157
510	0.5355402778
511	0.5353225175
512	0.5350078446
513	0.5348118638
514	0.5346898831
515	0.5344010116
516	0.5343036763
517	0.5340636605
518	0.5338829332
519	0.5336826192
520	0.5334546164
521	0.533269372
522	0.5330780739
523	0.5328506512
524	0.532588426
525	0.5323601975
526	0.532023203
527	0.5318063591
528	0.5316170607
529	0.5314197386
530	0.5312679124
531	0.5310422463
532	0.5308381996
533	0.5305683265
534	0.5303673185
535	0.530210017
536	0.5300735334
537	0.5299037278
538	0.5296627305
539	0.5294447377
540	0.52911233
541	0.5287807734
542	0.5286000633
543	0.5283591908
544	0.5282378586
545	0.5279734745
546	0.5277873254
547	0.5275295023
548	0.5272754501
549	0.5270755073
550	0.526984164
551	0.5268712659
552	0.5266517097
553	0.5264759428
554	0.5261801297
555	0.526046834
556	0.5258560264
557	0.5256357465
558	0.5254951182
559	0.525276617
560	0.5249694674
561	0.5248411523
562	0.5246243142
563	0.5244105382
564	0.5241311924
565	0.5239370446
566	0.523711924
567	0.5234894126
568	0.5231984162
569	0.5229715436
570	0.5228560065
571	0.5227453158
572	0.5224775423
573	0.52223301
574	0.5220407375
575	0.5218844413
576	0.5216809015
577	0.5215447297
578	0.521357013
579	0.521181061
580	0.5209657645
581	0.5207600776
582	0.5204931888
583	0.5203897877
584	0.5202183147
585	0.5200470935
586	0.5197333678
587	0.5194431103
588	0.5191512181
589	0.5189578568
590	0.518701344
591	0.5185055754
592	0.5183222459
593	0.5181951312
594	0.5179764919
595	0.5177728755
596	0.5176327587
597	0.5174204557
598	0.5172318189
599	0.5170616979
600	0.5168323963
601	0.5166207619
602	0.5164014667
603	0.5161855272
604	0.5160426294
605	0.5158652587
606	0.5157573851
607	0.5155927941
608	0.5154220577
609	0.5152439216
610	0.5149268874
611	0.514783471
612	0.5145827821
613	0.514390618
614	0.5141150961
615	0.5138938563
616	0.513723191
617	0.5134458778
618	0.5132565658
619	0.5130424126
620	0.5128248705
621	0.5125707953
622	0.5123572263
623	0.5121170285
624	0.5119638051
625	0.5118561657
626	0.5116417777
627	0.5114295019
628	0.5112378735
629	0.5110527742
630	0.5108422957
631	0.5106080966
632	0.5103660254
633	0.5102337891
634	0.5100501058
635	0.5098618155
636	0.5097231149
637	0.5095789755
638	0.5093606203
639	0.5092174083
640	0.5090707219
641	0.508916986
642	0.5087417037
643	0.5086023059
644	0.5083484737
645	0.5081720431
646	0.5079729996
647	0.5077429396
648	0.5075633458
649	0.5073525246
650	0.5071280999
651	0.5069692168
652	0.5068173931
653	0.5066520829
654	0.5064385485
655	0.5062445229
656	0.5060241382
657	0.5058495724
658	0.5057079258
659	0.5056014335
660	0.5053869705
661	0.5052215055
662	0.5050095062
663	0.5047949135
664	0.5046299394
665	0.5045052647
666	0.5042757528
667	0.5040705873
668	0.5038234709
669	0.5036889785
670	0.5035281336
671	0.5033199689
672	0.5032245442
673	0.5030543311
674	0.5028341022
675	0.5026233463
676	0.5024764131
677	0.5023141632
678	0.5021337761
679	0.5018913392
680	0.50155023
681	0.5013460674
682	0.5011818849
683	0.5009695629
684	0.500707951
685	0.5005976018
686	0.5004045769
687	0.5001906913
688	0.5000036805
689	0.4998477409
690	0.4997152161
691	0.499549801
692	0.4993365112
693	0.498996818
694	0.4988454622
695	0.4987378448
696	0.4984928568
697	0.4982760841
698	0.4982184421
699	0.4980677772
700	0.4978329054
701	0.4976781612
702	0.4975178853
703	0.4973813121
704	0.49719344
705	0.4970228194
706	0.4968452961
707	0.4966433881
708	0.496503127
709	0.4962961895
710	0.4961245034
711	0.4959567907
712	0.4958227436
713	0.4955680552
714	0.4954277575
715	0.4952862844
716	0.4950911419
717	0.4949207827
718	0.4947026053
719	0.4945093691
720	0.4943351984
721	0.4942293411
722	0.4940954912
723	0.4939143615
724	0.4936918838
725	0.4935054733
726	0.49337015
727	0.49321161
728	0.4931093887
729	0.4928724693
730	0.4927103876
731	0.4925498643
732	0.492431129
733	0.4922001437
734	0.4920976553
735	0.4919126421
736	0.4917819292
737	0.4916162505
738	0.4914956972
739	0.4913389402
740	0.4912426299
741	0.4909998302
742	0.4907721021
743	0.4905030156
744	0.4903062224
745	0.4900597193
746	0.489839048
747	0.4897161791
748	0.4896026881
749	0.4894730733
750	0.4893107456
751	0.4891722933
752	0.4889908442
753	0.4887900822
754	0.4885771949
755	0.4883726281
756	0.4882175033
757	0.4880733549
758	0.4878142162
759	0.4876177093
760	0.487512242
761	0.4873045425
762	0.4871431785
763	0.4870110433
764	0.4868855801
765	0.4867179016
766	0.4865894179
767	0.4864450858
768	0.4862651498
769	0.486044412
770	0.4858147597
771	0.4857005876
772	0.4854916708
773	0.4853660426
774	0.4852128729
775	0.4849499173
776	0.4847503414
777	0.4845720962
778	0.4843883021
779	0.4842447931
780	0.4840314964
781	0.4838695529
782	0.4835721813
783	0.4834674017
784	0.483301624
785	0.4832100453
786	0.4830109773
787	0.4829195318
788	0.4827832763
789	0.4826640412
790	0.4824582165
791	0.482219391
792	0.4820795346
793	0.4819266109
794	0.4817404652
795	0.4816082509
796	0.4814555811
797	0.4812957638
798	0.4811357286
799	0.4809858674
